remaining McEachen primes p < 200000: 466
covered by 7s-2 prime: 113
uncovered: 353
first uncovered (p, q, s, 7s-2):
(17401, 127, 137, 957)
(17443, 107, 163, 1139)
(21211, 127, 167, 1167)
(22501, 149, 151, 1055)
(24799, 137, 181, 1265)
(28201, 163, 173, 1209)
(28759, 149, 193, 1349)
(28909, 137, 211, 1475)
(29179, 163, 179, 1251)
(29641, 107, 277, 1937)
(29989, 157, 191, 1335)
(30931, 157, 197, 1377)
(31573, 131, 241, 1685)
(32233, 167, 193, 1349)
(32401, 179, 181, 1265)
(33391, 173, 193, 1349)
(33403, 127, 263, 1839)
(33493, 107, 313, 2189)
(34429, 173, 199, 1391)
(34549, 179, 193, 1349)
