remaining McEachen primes p < 200000: 466
covered by 5q-2 or 7q-2 or 5s-2 or 7s-2: 332
uncovered by that pairing: 134
counts (a prime may hit several): {'5q-2': 189, '7q-2': 69, '5s-2': 62, '7s-2': 113, '11q-2': 122, '13q-2': 51}
first uncovered (p, q, s, q%3, s%3):
(17443, 107, 163, 2, 1)
(29179, 163, 179, 1, 2)
(29641, 107, 277, 2, 1)
(32233, 167, 193, 2, 1)
(32401, 179, 181, 2, 1)
(33493, 107, 313, 2, 1)
(34549, 179, 193, 2, 1)
(35419, 107, 331, 2, 1)
(37003, 163, 227, 1, 2)
(45259, 167, 271, 2, 1)
(46261, 167, 277, 2, 1)
(54709, 227, 241, 2, 1)
(61099, 107, 571, 2, 1)
(61291, 167, 367, 2, 1)
(61519, 227, 271, 2, 1)
